row_index,sample_id,group_id,Folder,File,SMILES,subset
109,Group 9/106.log,Group 9,Group 9,106.log,CC(C1=CC2=C(OCCCC3=CC(C4=CC=CC=C4)=NN3)C(SC5=CC(C(C)(C)C)=CC(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(S2)=C7OCCCC8=CC(C9=CC=CC=C9)=NN8)=C6OCCCC%10=CC(C%11=CC=CC=C%11)=NN%10)=C5OCCCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1)(C)C,train
111,Group 9/108.log,Group 9,Group 9,108.log,CC(C1=CC2=C(OCCCCCN3C=CC=N3)C(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(SC6=CC(C(C)(C)C)=CC(S2)=C6OCCCCCN7C=CC=N7)=C5OCCCCCN8N=CC=C8)=C4OCCCCCN9N=CC=C9)=C1)(C)C,train
112,Group 9/109.log,Group 9,Group 9,109.log,CC(C)(C)C(C=C1)=CC=C1OCC2=N3N([H][N]4C(COC5=CC=C(C(C)(C)C)C=C5)=CC(C6=CC=CC=C6)=[N]4[H]N(N([H][N]7[N]([H]3)=C(C8=CC=CC=C8)C=C7COC9=CC=C(C(C)(C)C)C=C9)C(C%10=CC=CC=C%10)=C%11)=C%11COC%12=CC=C(C(C)(C)C)C=C%12)C(C%13=CC=CC=C%13)=C2,train
113,Group 9/110.log,Group 9,Group 9,110.log,CC(C)(C)C(C=C1)=CC=C1OCC2=CC(C3=CC=CC=C3)=N([H]N([N]([H][N]4N5=C(C6=CC=CC=C6)C=C4COC7=CC=C(C(C)(C)C)C=C7)C(COC8=CC=C(C(C)(C)C)C=C8)=C9)=C9C%10=CC=CC=C%10)[N]2[H][N]%11N([H]5)=C(C%12=CC=CC=C%12)C=C%11COC%13=CC=C(C(C)(C)C)C=C%13,train
115,Group 10/112.log,Group 10,Group 10,112.log,OC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,train
116,Group 10/113.log,Group 10,Group 10,113.log,OCCNC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,train
117,Group 10/114.log,Group 10,Group 10,114.log,O=S(OC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1)(C(F)(F)F)=O,train
118,Group 10/115.log,Group 10,Group 10,115.log,CC(C1=CC2=C(OCCCOC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCOC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCOC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C,train
119,Group 10/116.log,Group 10,Group 10,116.log,CC(C1=CC2=C(OCCCCOC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCCOC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCCOC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C,train
121,Group 10/118.log,Group 10,Group 10,118.log,NNC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,train
123,Group 10/120.log,Group 10,Group 10,120.log,CCCCCCCCCCCCSC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,train
124,Group 10/121.log,Group 10,Group 10,121.log,CC(C1=CC2=C(OCCCSC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCSC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCSC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCSC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C,train
125,Group 10/122.log,Group 10,Group 10,122.log,CC(C1=CC2=C(OCCCCCSC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCCCSC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCCCSC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCCCSC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C,train
126,Group 10/123.log,Group 10,Group 10,123.log,CC(C1=CC2=C(OCCCCCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCOC6=CC(C7=NC=CC=C7)=NC(C8=CC=CC=N8)=C6)=C4OCCCCCCCCCCCC)=C3OCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C1)(C)C,train
127,Group 11/124.log,Group 11,Group 11,124.log,CC(C1=CC2=C(OCC3=CN(CCOC(C(SC(C=C4C(C)(C)C)=C5O)=C6)=C(C=C6C(C)(C)C)SC7=C(O)C(SC(C=C(C=C8SC5=C4)C(C)(C)C)=C8O)=CC(C(C)(C)C)=C7)N=N3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCC%12=CN(CCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)N=N%12)=C%10OCC%18=CN(CCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCC%24=CN(CCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,train
128,Group 11/125.log,Group 11,Group 11,125.log,CC(C1=CC2=C(OCC3=CN(CCCOC(C(SC(C=C4C(C)(C)C)=C5O)=C6)=C(C=C6C(C)(C)C)SC7=C(O)C(SC(C=C(C=C8SC5=C4)C(C)(C)C)=C8O)=CC(C(C)(C)C)=C7)N=N3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCC%12=CN(CCCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)N=N%12)=C%10OCC%18=CN(CCCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCC%24=CN(CCCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,train
129,Group 11/126.log,Group 11,Group 11,126.log,CC(C1=CC(SC2=C(O)C(SC(C=C(C=C3SC4=C5)C(C)(C)C)=C3O)=CC(C(C)(C)C)=C2)=C(OCCN6N=NC(CCOC(C(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S9)=C8OCCC%10=CN(CCOC%11=C(C=C(C=C%11SC%12=C%13)C(C)(C)C)SC%14=CC(C(C)(C)C)=CC(SC%15=C(O)C(SC(C=C%13C(C)(C)C)=C%12O)=CC(C(C)(C)C)=C%15)=C%14O)N=N%10)=C7OCCC%16=CN(CCOC%17=C(SC(C=C%18C(C)(C)C)=C%19O)C=C(C(C)(C)C)C=C%17SC%20=C(O)C(SC%21=CC(C(C)(C)C)=CC(SC%19=C%18)=C%21O)=CC(C(C)(C)C)=C%20)N=N%16)=CC(C(C)(C)C)=C%22)=C%22SC%23=C(C9=CC(C(C)(C)C)=C%23)OCCC%24=CN(CCOC%25=C(SC%26=C%27)C=C(C(C)(C)C)C=C%25SC%28=CC(C(C)(C)C)=CC(SC%29=CC(C(C)(C)C)=CC(SC(C=C%27C(C)(C)C)=C%26O)=C%29O)=C%28O)N=N%24)=C6)C(SC(C=C5C(C)(C)C)=C4O)=C1)(C)C,train
130,Group 11/127.log,Group 11,Group 11,127.log,OC1=C(SC2=C3)C=C(C(C)(C)C)C=C1SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(SC(C=C3C(C)(C)C)=C2O)=C5OCCCN(N=N6)C=C6CCOC7=C(SC8=CC(C(C)(C)C)=CC(SC9=CC(C(C)(C)C)=CC(S%10)=C9OCCC%11=CN(CCCOC%12=C(SC%13=C%14)C=C(C(C)(C)C)C=C%12SC%15=CC(C(C)(C)C)=CC(SC%16=CC(C(C)(C)C)=CC(SC(C=C%14C(C)(C)C)=C%13O)=C%16O)=C%15O)N=N%11)=C8OCCC%17=CN(CCCOC%18=C(C=C(C=C%18SC%19=C%20)C(C)(C)C)SC%21=CC(C(C)(C)C)=CC(SC%22=C(O)C(SC(C=C%20C(C)(C)C)=C%19O)=CC(C(C)(C)C)=C%22)=C%21O)N=N%17)C=C(C(C)(C)C)C=C7SC%23=CC(C(C)(C)C)=CC%10=C%23OCCC%24=CN(CCCOC%25=C(C=C%26C(C)(C)C)SC%27=C(O)C(SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%25=C%26)=C%29O)=CC(C(C)(C)C)=C%28)=CC(C(C)(C)C)=C%27)N=N%24)=C4O,train
131,Group 11/128.log,Group 11,Group 11,128.log,CC(C1=CC2=C(OCCCC3=CN(CCOC4=C(C=C5C(C)(C)C)SC6=C(O)C(SC7=C(O)C(SC8=CC(C(C)(C)C)=CC(SC4=C5)=C8O)=CC(C(C)(C)C)=C7)=CC(C(C)(C)C)=C6)N=N3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCC%12=CN(CCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)N=N%12)=C%10OCCCC%18=CN(CCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCCCC%24=CN(CCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,train
133,Group 11/131.log,Group 11,Group 11,131.log,CC(C1=CC2=C(OCCCCC3=CN(CCCOC(C(SC(C=C4C(C)(C)C)=C5O)=C6)=C(C=C6C(C)(C)C)SC7=C(O)C(SC(C=C(C=C8SC5=C4)C(C)(C)C)=C8O)=CC(C(C)(C)C)=C7)N=N3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCCC%12=CN(CCCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)N=N%12)=C%10OCCCCC%18=CN(CCCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCCCCC%24=CN(CCCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,train
134,Group 11/132.log,Group 11,Group 11,132.log,CC(C1=CC(SC2=C(O)C(SC(C=C(C=C3SC4=C5)C(C)(C)C)=C3O)=CC(C(C)(C)C)=C2)=C(OCC6=CN(N=N6)CCOC(C(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S9)=C8OCCN%10C=C(COC%11=C(C=C(C=C%11SC%12=C%13)C(C)(C)C)SC%14=CC(C(C)(C)C)=CC(SC%15=C(O)C(SC(C=C%13C(C)(C)C)=C%12O)=CC(C(C)(C)C)=C%15)=C%14O)N=N%10)=C7OCCN%16C=C(COC%17=C(SC(C=C%18C(C)(C)C)=C%19O)C=C(C(C)(C)C)C=C%17SC%20=C(O)C(SC%21=CC(C(C)(C)C)=CC(SC%19=C%18)=C%21O)=CC(C(C)(C)C)=C%20)N=N%16)=CC(C(C)(C)C)=C%22)=C%22SC%23=C(C9=CC(C(C)(C)C)=C%23)OCCN%24N=NC(COC%25=C(SC%26=C%27)C=C(C(C)(C)C)C=C%25SC%28=CC(C(C)(C)C)=CC(SC%29=CC(C(C)(C)C)=CC(SC(C=C%27C(C)(C)C)=C%26O)=C%29O)=C%28O)=C%24)C(SC(C=C5C(C)(C)C)=C4O)=C1)(C)C,train
136,Group 11/134.log,Group 11,Group 11,134.log,OC1=C(SC2=C3)C=C(C(C)(C)C)C=C1SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(SC(C=C3C(C)(C)C)=C2O)=C5OCCCC(N=N6)=CN6CCOC7=C(SC8=CC(C(C)(C)C)=CC(SC9=CC(C(C)(C)C)=CC(S%10)=C9OCCN%11N=NC(CCCOC%12=C(SC%13=C%14)C=C(C(C)(C)C)C=C%12SC%15=CC(C(C)(C)C)=CC(SC%16=CC(C(C)(C)C)=CC(SC(C=C%14C(C)(C)C)=C%13O)=C%16O)=C%15O)=C%11)=C8OCCN%17C=C(CCCOC%18=C(C=C(C=C%18SC%19=C%20)C(C)(C)C)SC%21=CC(C(C)(C)C)=CC(SC%22=C(O)C(SC(C=C%20C(C)(C)C)=C%19O)=CC(C(C)(C)C)=C%22)=C%21O)N=N%17)C=C(C(C)(C)C)C=C7SC%23=CC(C(C)(C)C)=CC%10=C%23OCCN%24N=NC(CCCOC%25=C(C=C%26C(C)(C)C)SC%27=C(O)C(SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%25=C%26)=C%29O)=CC(C(C)(C)C)=C%28)=CC(C(C)(C)C)=C%27)=C%24)=C4O,train
137,Group 11/136.log,Group 11,Group 11,136.log,CC(C1=CC2=C(OCCCN3C=C(COC4=C(C=C5C(C)(C)C)SC6=C(O)C(SC7=C(O)C(SC8=CC(C(C)(C)C)=CC(SC4=C5)=C8O)=CC(C(C)(C)C)=C7)=CC(C(C)(C)C)=C6)N=N3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCN%12C=C(COC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)N=N%12)=C%10OCCCN%18N=NC(COC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)=C%18)=C9OCCCN%24N=NC(COC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)=C%24)=C1)(C)C,train
138,Group 11/137.log,Group 11,Group 11,137.log,CC(C1=CC2=C(OCCCN3C=C(CCOC4=C(C=C5C(C)(C)C)SC6=C(O)C(SC7=C(O)C(SC8=CC(C(C)(C)C)=CC(SC4=C5)=C8O)=CC(C(C)(C)C)=C7)=CC(C(C)(C)C)=C6)N=N3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCN%12C=C(CCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)N=N%12)=C%10OCCCN%18N=NC(CCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)=C%18)=C9OCCCN%24N=NC(CCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)=C%24)=C1)(C)C,train
139,Group 11/138.log,Group 11,Group 11,138.log,CC(C1=CC2=C(OCCCN3C=C(CCCOC4=C(C=C5C(C)(C)C)SC6=C(O)C(SC7=C(O)C(SC8=CC(C(C)(C)C)=CC(SC4=C5)=C8O)=CC(C(C)(C)C)=C7)=CC(C(C)(C)C)=C6)N=N3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCN%12C=C(CCCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)N=N%12)=C%10OCCCN%18N=NC(CCCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)=C%18)=C9OCCCN%24N=NC(CCCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)=C%24)=C1)(C)C,train
141,Group 11/140.log,Group 11,Group 11,140.log,CC(C1=CC2=C(OCCCCN3N=NC(COC(C(SC(C=C4C(C)(C)C)=C5O)=C6)=C(C=C6C(C)(C)C)SC7=C(O)C(SC(C=C(C=C8SC5=C4)C(C)(C)C)=C8O)=CC(C(C)(C)C)=C7)=C3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCCN%12N=NC(COC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)=C%12)=C%10OCCCCN%18C=C(COC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCCCCN%24C=C(COC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,train
142,Group 11/141.log,Group 11,Group 11,141.log,CC(C1=CC2=C(OCCCCN3N=NC(CCOC(C(SC(C=C4C(C)(C)C)=C5O)=C6)=C(C=C6C(C)(C)C)SC7=C(O)C(SC(C=C(C=C8SC5=C4)C(C)(C)C)=C8O)=CC(C(C)(C)C)=C7)=C3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCCN%12N=NC(CCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)=C%12)=C%10OCCCCN%18C=C(CCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCCCCN%24C=C(CCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,train
143,Group 11/142.log,Group 11,Group 11,142.log,CC(C1=CC2=C(OCCCCN3N=NC(CCCOC(C(SC(C=C4C(C)(C)C)=C5O)=C6)=C(C=C6C(C)(C)C)SC7=C(O)C(SC(C=C(C=C8SC5=C4)C(C)(C)C)=C8O)=CC(C(C)(C)C)=C7)=C3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCCN%12N=NC(CCCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)=C%12)=C%10OCCCCN%18C=C(CCCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCCCCN%24C=C(CCCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,train
144,Group 11/143.log,Group 11,Group 11,143.log,CC(C1=CC2=C(OCCCCN3N=NC(CCCCOC(C(SC(C=C4C(C)(C)C)=C5O)=C6)=C(C=C6C(C)(C)C)SC7=C(O)C(SC(C=C(C=C8SC5=C4)C(C)(C)C)=C8O)=CC(C(C)(C)C)=C7)=C3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCCN%12N=NC(CCCCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)=C%12)=C%10OCCCCN%18C=C(CCCCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCCCCN%24C=C(CCCCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,train
145,Group 11/144.log,Group 11,Group 11,144.log,CC(C1=CC2=C(OCCCCCN3N=NC(COC(C(SC(C=C4C(C)(C)C)=C5O)=C6)=C(C=C6C(C)(C)C)SC7=C(O)C(SC(C=C(C=C8SC5=C4)C(C)(C)C)=C8O)=CC(C(C)(C)C)=C7)=C3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCCCN%12N=NC(COC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)=C%12)=C%10OCCCCCN%18C=C(COC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCCCCCN%24C=C(COC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,train
146,Group 11/145.log,Group 11,Group 11,145.log,CC(C1=CC2=C(OCCCCCN3N=NC(CCOC4=C(C=C5C(C)(C)C)SC6=C(O)C(SC7=C(O)C(SC8=CC(C(C)(C)C)=CC(SC4=C5)=C8O)=CC(C(C)(C)C)=C7)=CC(C(C)(C)C)=C6)=C3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCCCN%12N=NC(CCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)=C%12)=C%10OCCCCCN%18C=C(CCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCCCCCN%24C=C(CCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,train
